"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","7.0887","7.6727","7.6762","6.8345","7.05M","-7.60%"
"Jun 30, 2021","7.6718","7.5554","7.9434","6.8152","11.92M","1.82%"
"Jun 29, 2021","7.5344","6.3167","7.6730","6.3081","9.08M","19.29%"
"Jun 28, 2021","6.3158","6.1479","6.4365","5.9941","5.64M","2.73%"
"Jun 27, 2021","6.1478","5.8218","6.2534","5.7013","7.83M","5.61%"
"Jun 26, 2021","5.8212","5.5291","5.8619","5.2528","9.55M","5.27%"
"Jun 25, 2021","5.5296","6.1744","6.5063","5.4197","10.57M","-10.43%"
"Jun 24, 2021","6.1733","5.8964","6.2473","5.5291","8.16M","4.77%"
"Jun 23, 2021","5.8922","4.9893","6.0710","4.7735","12.42M","18.18%"
"Jun 22, 2021","4.9858","5.4797","5.8841","4.4456","17.32M","-9.06%"
"Jun 21, 2021","5.4824","7.5494","7.5973","5.4034","12.57M","-27.41%"
"Jun 20, 2021","7.5523","7.6857","7.6902","6.9096","4.99M","-1.76%"
"Jun 19, 2021","7.6875","8.0246","8.0931","7.6586","3.76M","-4.16%"
"Jun 18, 2021","8.0208","8.6349","8.6357","7.7697","4.88M","-7.08%"
"Jun 17, 2021","8.6321","8.6903","9.0438","8.4555","3.55M","-0.69%"
"Jun 16, 2021","8.6924","9.2604","9.2604","8.6159","4.55M","-6.14%"
"Jun 15, 2021","9.2607","9.4285","9.5977","9.0744","4.25M","-1.73%"
"Jun 14, 2021","9.4241","9.2510","9.4886","8.8645","4.62M","1.85%"
"Jun 13, 2021","9.2529","8.5763","9.2786","8.3314","4.61M","7.90%"
"Jun 12, 2021","8.5750","9.0598","9.0642","8.2536","5.68M","-5.38%"
"Jun 11, 2021","9.0623","9.7114","9.8227","8.9169","5.37M","-6.75%"
"Jun 10, 2021","9.7186","9.9299","10.6527","9.3977","8.08M","-2.12%"
"Jun 09, 2021","9.9289","9.3802","9.9477","8.7770","6.83M","5.83%"
"Jun 08, 2021","9.3822","9.6893","9.8922","8.3912","9.41M","-3.18%"
"Jun 07, 2021","9.6908","11.0591","11.2622","9.5620","5.37M","-12.42%"
"Jun 06, 2021","11.0645","10.9233","11.1864","10.7136","3.55M","1.30%"
"Jun 05, 2021","10.9229","11.2854","11.7447","10.5527","5.33M","-3.25%"
"Jun 04, 2021","11.2900","12.4099","12.5885","10.8064","7.36M","-8.94%"
"Jun 03, 2021","12.3979","12.0895","12.7572","11.8803","6.65M","2.50%"
"Jun 02, 2021","12.0950","11.8528","12.3841","11.3864","6.24M","2.09%"
"Jun 01, 2021","11.8470","12.4148","12.6027","11.3263","7.44M","-4.80%"
"May 31, 2021","12.4444","11.4070","12.4444","10.7887","8.61M","9.09%"
"May 30, 2021","11.4076","11.2498","11.8822","10.2644","9.28M","1.45%"
"May 29, 2021","11.2441","12.1245","12.8825","10.5039","11.09M","-7.22%"
"May 28, 2021","12.1189","14.4633","14.4633","11.3145","16.65M","-16.16%"
"May 27, 2021","14.4547","12.6036","14.9163","12.2121","18.16M","14.72%"
"May 26, 2021","12.6001","11.5943","12.8153","11.2975","10.79M","8.53%"
"May 25, 2021","11.6101","11.2602","12.8606","10.6576","21.75M","3.06%"
"May 24, 2021","11.2652","8.1269","11.3834","7.6515","18.06M","38.58%"
"May 23, 2021","8.1292","9.6935","10.7437","6.4031","22.65M","-16.03%"
"May 22, 2021","9.6807","11.1029","11.1393","9.2083","13.02M","-12.82%"
"May 21, 2021","11.1040","13.5955","14.0448","9.6694","19.04M","-18.78%"
"May 20, 2021","13.6722","10.9056","13.7120","9.7073","19.83M","25.34%"
"May 19, 2021","10.9079","18.0672","18.1436","7.6338","28.70M","-39.72%"
"May 18, 2021","18.0960","17.3890","18.6581","16.8924","9.01M","4.02%"
"May 17, 2021","17.3969","19.3067","19.3279","16.2438","13.15M","-9.89%"
"May 16, 2021","19.3065","19.8975","21.8228","18.2134","9.62M","-2.99%"
"May 15, 2021","19.9015","21.9497","22.1889","19.6044","9.56M","-9.33%"
"May 14, 2021","21.9487","20.7472","22.7243","20.0193","10.18M","5.83%"
"May 13, 2021","20.7390","19.9657","21.7345","18.4602","14.21M","5.20%"
"May 12, 2021","19.7143","26.5182","26.7906","19.4383","10.97M","-25.63%"
"May 11, 2021","26.5093","23.5109","26.6343","21.8367","13.85M","12.82%"
"May 10, 2021","23.4965","27.2657","28.2445","21.7917","12.22M","-13.75%"
"May 09, 2021","27.2439","25.5814","30.4469","24.8557","23.09M","6.56%"
"May 08, 2021","25.5659","26.6592","26.9262","23.4192","16.44M","-3.85%"
"May 07, 2021","26.5885","24.7067","35.0077","23.1584","60.91M","7.62%"
"May 06, 2021","24.7048","17.7799","26.0974","17.2833","40.30M","38.93%"
"May 05, 2021","17.7827","14.1473","17.7989","14.1473","12.24M","26.07%"
"May 04, 2021","14.1054","15.7467","15.7591","13.9168","10.52M","-10.42%"
"May 03, 2021","15.7462","15.2253","16.2252","15.1764","7.21M","3.42%"
"May 02, 2021","15.2256","15.1397","16.1386","14.7076","9.32M","0.59%"
"May 01, 2021","15.1369","15.0195","15.2154","14.3926","5.92M","0.72%"
"Apr 30, 2021","15.0279","14.2053","15.1759","13.9148","6.72M","5.84%"
"Apr 29, 2021","14.1987","14.3586","14.6848","13.6481","8.16M","-1.12%"
"Apr 28, 2021","14.3588","14.9252","15.5394","13.3675","10.20M","-3.82%"
"Apr 27, 2021","14.9287","14.0174","15.2278","13.8365","10.58M","6.51%"
"Apr 26, 2021","14.0161","11.9328","14.0203","11.7410","11.27M","17.45%"
"Apr 25, 2021","11.9336","11.6672","13.1236","11.1189","11.09M","2.35%"
"Apr 24, 2021","11.6593","13.0585","13.1282","11.5011","12.20M","-10.69%"
"Apr 23, 2021","13.0544","13.3843","13.6591","10.0131","25.33M","-2.52%"
"Apr 22, 2021","13.3917","15.7915","16.3254","13.3140","14.61M","-15.18%"
"Apr 21, 2021","15.7885","17.4855","17.4982","15.6793","9.63M","-9.65%"
"Apr 20, 2021","17.4746","18.2809","18.6189","16.3102","17.40M","-4.76%"
"Apr 19, 2021","18.3473","18.3059","20.9945","17.5075","31.22M","0.28%"
"Apr 18, 2021","18.2953","17.2543","18.5440","12.0391","24.45M","5.97%"
"Apr 17, 2021","17.2647","18.3532","19.4233","17.0293","11.30M","-5.91%"
"Apr 16, 2021","18.3487","17.6021","19.0958","15.6623","19.20M","4.28%"
"Apr 15, 2021","17.5957","15.9047","17.9874","15.1133","9.05M","10.77%"
"Apr 14, 2021","15.8851","15.0634","16.8783","14.7123","12.29M","5.46%"
"Apr 13, 2021","15.0629","14.5301","15.5219","14.1987","8.31M","3.70%"
"Apr 12, 2021","14.5254","14.9493","16.2321","14.3857","8.31M","-2.84%"
"Apr 11, 2021","14.9501","15.8763","15.9238","14.5776","7.60M","-5.73%"
"Apr 10, 2021","15.8586","15.7430","16.5020","14.9238","10.91M","0.72%"
"Apr 09, 2021","15.7450","16.8551","16.8551","15.0964","9.71M","-6.71%"
"Apr 08, 2021","16.8783","15.6251","16.9020","14.3625","16.95M","7.96%"
"Apr 07, 2021","15.6331","15.2439","17.9626","13.6513","48.11M","2.57%"
"Apr 06, 2021","15.2411","11.8312","15.3141","11.7768","29.86M","28.80%"
"Apr 05, 2021","11.8328","10.7737","12.1423","10.6827","13.16M","9.87%"
"Apr 04, 2021","10.7696","9.7416","10.9878","9.6087","10.52M","10.53%"
"Apr 03, 2021","9.7432","10.1810","11.4250","9.7296","13.53M","-4.34%"
"Apr 02, 2021","10.1852","10.0261","10.4746","9.7834","8.83M","1.59%"
"Apr 01, 2021","10.0262","9.3800","10.9258","9.3800","23.49M","6.88%"
"Mar 31, 2021","9.3809","8.7597","9.6128","8.1255","13.37M","7.09%"
"Mar 30, 2021","8.7600","8.7626","9.1834","8.6461","9.96M","-0.04%"
"Mar 29, 2021","8.7635","8.2068","8.8482","7.9518","9.67M","6.79%"
"Mar 28, 2021","8.2062","8.5541","8.5717","7.9213","9.04M","-4.02%"
"Mar 27, 2021","8.5502","8.6344","9.1783","8.1995","14.35M","-0.95%"
"Mar 26, 2021","8.6326","8.2159","9.5091","8.1815","26.55M","5.09%"
"Mar 25, 2021","8.2142","7.2331","8.7610","6.7471","36.73M","13.58%"
"Mar 24, 2021","7.2318","7.0067","8.5505","6.7768","23.86M","3.11%"
"Mar 23, 2021","7.0140","6.5413","7.0973","6.3319","10.69M","7.21%"
"Mar 22, 2021","6.5421","6.5945","7.0958","6.4347","12.04M","-0.76%"
"Mar 21, 2021","6.5922","6.6343","6.8023","6.3884","8.19M","-0.57%"
"Mar 20, 2021","6.6302","7.0018","7.3494","6.6037","8.19M","-5.42%"
"Mar 19, 2021","7.0099","6.3685","7.5471","6.1791","14.89M","10.05%"
"Mar 18, 2021","6.3697","6.2068","6.6962","6.0829","10.01M","2.60%"
"Mar 17, 2021","6.2081","6.3733","6.4320","5.8799","7.57M","-2.59%"
"Mar 16, 2021","6.3729","5.9473","6.4231","5.6452","10.88M","7.12%"
"Mar 15, 2021","5.9491","5.8329","6.1869","5.4866","13.56M","1.94%"
"Mar 14, 2021","5.8360","6.1222","6.2818","5.7963","5.87M","-4.67%"
"Mar 13, 2021","6.1220","5.8422","6.2069","5.5872","7.39M","4.77%"
"Mar 12, 2021","5.8435","6.1370","6.1631","5.7122","7.39M","-4.67%"
"Mar 11, 2021","6.1296","6.2310","6.2761","5.8750","7.66M","-1.62%"
"Mar 10, 2021","6.2305","6.5600","6.5679","6.0522","9.97M","-5.02%"
"Mar 09, 2021","6.5600","6.3035","6.6165","6.1889","8.45M","4.06%"
"Mar 08, 2021","6.3043","6.3425","6.3994","6.0101","6.36M","-0.58%"
"Mar 07, 2021","6.3408","6.3267","6.5445","6.1129","7.54M","0.24%"
"Mar 06, 2021","6.3255","6.5752","6.6515","5.9183","12.04M","-3.76%"
"Mar 05, 2021","6.5729","5.6763","6.6137","5.2616","18.84M","15.81%"
"Mar 04, 2021","5.6758","5.3506","5.9044","5.2339","15.19M","5.96%"
"Mar 03, 2021","5.3565","5.1903","5.5252","5.1336","7.35M","3.21%"
"Mar 02, 2021","5.1899","5.2672","5.3806","4.9590","8.70M","-1.48%"
"Mar 01, 2021","5.2680","4.8489","5.2766","4.8262","7.48M","8.70%"
"Feb 28, 2021","4.8462","5.2664","5.3639","4.5318","11.08M","-7.93%"
"Feb 27, 2021","5.2635","5.1844","5.7381","5.1385","9.59M","1.51%"
"Feb 26, 2021","5.1851","5.1290","5.3543","4.7097","12.94M","1.04%"
"Feb 25, 2021","5.1315","5.3079","5.7966","5.0785","12.74M","-3.33%"
"Feb 24, 2021","5.3083","5.1479","5.6102","4.8821","14.30M","3.12%"
"Feb 23, 2021","5.1478","6.3861","6.4249","4.2820","27.12M","-19.34%"
"Feb 22, 2021","6.3822","7.1197","7.1424","5.4314","15.42M","-10.35%"
"Feb 21, 2021","7.1190","6.6960","7.2992","6.5408","10.54M","6.30%"
"Feb 20, 2021","6.6969","7.2582","7.3721","6.4170","9.80M","-7.65%"
"Feb 19, 2021","7.2520","7.1375","7.5027","6.7464","10.60M","1.66%"
"Feb 18, 2021","7.1335","6.6402","7.3017","6.6402","11.08M","7.41%"
"Feb 17, 2021","6.6412","6.4249","6.7651","5.9956","10.29M","3.48%"
"Feb 16, 2021","6.4178","6.4154","6.7695","6.1277","10.40M","0.04%"
"Feb 15, 2021","6.4154","6.9980","7.1225","5.4997","17.15M","-8.30%"
"Feb 14, 2021","6.9959","7.7298","7.7582","6.8103","13.43M","-9.42%"
"Feb 13, 2021","7.7231","7.3433","7.7838","6.9839","14.90M","5.19%"
"Feb 12, 2021","7.3421","7.4171","8.2351","6.8677","34.06M","-1.00%"
"Feb 11, 2021","7.4159","7.5173","8.8052","7.1979","35.00M","-1.28%"
"Feb 10, 2021","7.5120","5.0126","7.7283","4.9931","62.71M","49.95%"
"Feb 09, 2021","5.0095","4.7348","5.2418","4.5464","14.45M","5.81%"
"Feb 08, 2021","4.7344","4.2471","4.8071","4.0848","18.30M","11.47%"
"Feb 07, 2021","4.2473","4.4218","4.4421","3.9615","16.15M","-3.90%"
"Feb 06, 2021","4.4199","3.8543","4.5868","3.6495","21.81M","14.68%"
"Feb 05, 2021","3.8543","3.5055","3.9847","3.4841","11.61M","9.94%"
"Feb 04, 2021","3.5058","3.6909","3.7315","3.3608","9.92M","-5.10%"
"Feb 03, 2021","3.6941","3.5434","3.7642","3.4481","9.45M","4.24%"
"Feb 02, 2021","3.5437","3.4685","3.6088","3.3535","8.71M","2.19%"
"Feb 01, 2021","3.4676","3.2809","3.5153","3.1801","12.49M","5.70%"
"Jan 31, 2021","3.2807","3.2971","3.5362","3.1815","11.32M","-0.46%"
"Jan 30, 2021","3.2958","3.3059","3.3459","3.1466","8.11M","-0.34%"
"Jan 29, 2021","3.3071","3.2733","3.6611","3.2416","14.60M","1.03%"
"Jan 28, 2021","3.2733","3.1143","3.3879","3.0320","7.36M","5.11%"
"Jan 27, 2021","3.1143","3.4341","3.4488","3.0095","9.52M","-9.31%"
"Jan 26, 2021","3.4341","3.2834","3.4659","3.2204","8.25M","4.60%"
"Jan 25, 2021","3.2832","3.5457","3.6681","3.2612","10.79M","-7.40%"
"Jan 24, 2021","3.5458","3.9260","4.1779","3.4311","23.79M","-9.69%"
"Jan 23, 2021","3.9263","2.9217","3.9954","2.8875","30.13M","34.42%"
"Jan 22, 2021","2.9210","2.7370","3.0493","2.5727","10.60M","6.76%"
"Jan 21, 2021","2.7361","3.2382","3.2566","2.6775","11.54M","-15.45%"
"Jan 20, 2021","3.2360","3.1580","3.2819","2.9730","12.23M","2.47%"
"Jan 19, 2021","3.1579","3.2987","3.4216","3.1377","10.13M","-4.24%"
"Jan 18, 2021","3.2977","3.1815","3.3711","3.0504","12.26M","3.65%"
"Jan 17, 2021","3.1814","3.0533","3.2770","2.8598","11.52M","4.08%"
"Jan 16, 2021","3.0567","2.9448","3.2455","2.9034","11.68M","3.75%"
"Jan 15, 2021","2.9461","3.0187","3.2192","2.7325","13.53M","-2.40%"
"Jan 14, 2021","3.0185","2.9483","3.1163","2.8201","9.06M","2.40%"
"Jan 13, 2021","2.9476","2.7491","3.0082","2.6747","7.94M","7.26%"
"Jan 12, 2021","2.7480","2.8950","2.9636","2.6618","10.14M","-5.07%"
"Jan 11, 2021","2.8948","3.3923","3.4727","2.5549","19.97M","-14.64%"
"Jan 10, 2021","3.3912","3.2285","3.7095","2.8989","22.08M","5.06%"
"Jan 09, 2021","3.2278","2.8616","3.3126","2.7791","9.95M","12.80%"
"Jan 08, 2021","2.8616","2.8878","2.9775","2.6363","8.13M","-0.91%"
"Jan 07, 2021","2.8878","2.9807","3.1341","2.7751","10.49M","-3.12%"
"Jan 06, 2021","2.9807","2.6126","2.9958","2.5388","14.43M","14.14%"
"Jan 05, 2021","2.6114","2.5142","2.6495","2.3903","12.23M","3.84%"
"Jan 04, 2021","2.5148","2.4643","2.7000","2.2537","15.58M","2.08%"
"Jan 03, 2021","2.4635","2.2486","2.4905","2.2009","8.73M","9.58%"
"Jan 02, 2021","2.2482","2.2679","2.2906","2.1903","6.17M","-0.84%"
"Jan 01, 2021","2.2673","2.2219","2.3635","2.2017","5.41M","2.14%"
"Dec 31, 2020","2.2197","2.2154","2.2567","2.1511","3.73M","0.21%"
"Dec 30, 2020","2.2150","2.2719","2.2944","2.1769","4.33M","-2.49%"
"Dec 29, 2020","2.2715","2.3825","2.4376","2.1338","8.06M","-4.69%"
"Dec 28, 2020","2.3832","2.2754","2.4406","2.2595","6.64M","4.75%"
"Dec 27, 2020","2.2750","2.2606","2.3995","2.1489","7.82M","0.59%"
"Dec 26, 2020","2.2618","2.2892","2.3077","2.1642","5.02M","-1.20%"
"Dec 25, 2020","2.2893","2.3098","2.3900","2.2275","6.29M","-0.87%"
"Dec 24, 2020","2.3093","2.0964","2.3226","2.0260","8.92M","10.14%"
"Dec 23, 2020","2.0966","2.5772","2.5906","1.8859","10.27M","-18.65%"
"Dec 22, 2020","2.5774","2.5958","2.6256","2.4278","5.43M","-0.81%"
"Dec 21, 2020","2.5984","2.8021","2.8649","2.5613","6.04M","-7.29%"
"Dec 20, 2020","2.8025","2.8119","2.9142","2.7208","4.95M","-0.33%"
"Dec 19, 2020","2.8117","2.7392","2.9382","2.7245","4.92M","2.64%"
"Dec 18, 2020","2.7394","2.6894","2.7856","2.6312","4.28M","1.86%"
"Dec 17, 2020","2.6894","2.7667","2.8412","2.6581","7.26M","-2.78%"
"Dec 16, 2020","2.7664","2.5851","2.7736","2.5222","4.50M","6.99%"
"Dec 15, 2020","2.5855","2.5181","2.6549","2.4564","4.37M","2.69%"
"Dec 14, 2020","2.5179","2.5568","2.5569","2.4632","2.56M","-1.51%"
"Dec 13, 2020","2.5566","2.4683","2.6115","2.4540","3.27M","3.61%"
"Dec 12, 2020","2.4676","2.3380","2.4805","2.3350","2.76M","5.55%"
"Dec 11, 2020","2.3379","2.4300","2.4403","2.3164","3.65M","-3.77%"
"Dec 10, 2020","2.4295","2.4896","2.5065","2.3613","3.35M","-2.48%"
"Dec 09, 2020","2.4913","2.4089","2.5068","2.2945","5.63M","3.37%"
"Dec 08, 2020","2.4101","2.6120","2.6173","2.3778","3.93M","-7.74%"
"Dec 07, 2020","2.6123","2.6521","2.6920","2.5659","2.77M","-1.55%"
"Dec 06, 2020","2.6534","2.7188","2.7524","2.5858","3.49M","-2.41%"
"Dec 05, 2020","2.7188","2.5932","2.7368","2.5615","3.41M","4.87%"
"Dec 04, 2020","2.5927","2.8765","2.9020","2.5458","6.61M","-9.88%"
"Dec 03, 2020","2.8768","2.7877","2.9811","2.7846","6.83M","3.20%"
"Dec 02, 2020","2.7877","2.7163","2.8377","2.6850","5.04M","2.66%"
"Dec 01, 2020","2.7154","2.9314","3.0201","2.6852","9.32M","-7.37%"
"Nov 30, 2020","2.9315","2.7338","3.0628","2.7336","9.86M","7.26%"
"Nov 29, 2020","2.7330","2.6893","2.8393","2.5979","5.83M","1.64%"
"Nov 28, 2020","2.6890","2.6005","2.7530","2.5220","6.82M","3.37%"
"Nov 27, 2020","2.6014","2.5233","2.6227","2.3867","9.12M","3.04%"
"Nov 26, 2020","2.5247","2.9257","3.0061","2.3034","22.25M","-13.70%"
"Nov 25, 2020","2.9256","3.0798","3.2777","2.8305","16.12M","-5.01%"
"Nov 24, 2020","3.0799","2.7933","3.1819","2.7322","21.70M","10.24%"
"Nov 23, 2020","2.7938","2.5592","2.8003","2.4947","10.48M","9.15%"
"Nov 22, 2020","2.5595","2.6940","2.7384","2.3928","11.21M","-5.04%"
"Nov 21, 2020","2.6953","2.3619","2.7100","2.3536","11.91M","14.20%"
"Nov 20, 2020","2.3602","2.2511","2.4400","2.2511","7.69M","4.88%"
"Nov 19, 2020","2.2504","2.1489","2.3143","2.0825","7.54M","4.78%"
"Nov 18, 2020","2.1478","2.2033","2.2383","2.0771","7.77M","-2.50%"
"Nov 17, 2020","2.2030","2.0719","2.2108","2.0719","6.87M","6.31%"
"Nov 16, 2020","2.0722","1.9754","2.0863","1.9631","3.74M","4.87%"
"Nov 15, 2020","1.9760","2.0374","2.0748","1.9359","3.75M","-3.04%"
"Nov 14, 2020","2.0380","2.0908","2.1012","2.0086","4.06M","-2.49%"
"Nov 13, 2020","2.0901","2.0285","2.0959","2.0117","4.32M","2.99%"
"Nov 12, 2020","2.0295","2.0537","2.1234","2.0052","5.59M","-1.18%"
"Nov 11, 2020","2.0537","2.0046","2.1380","2.0029","4.57M","2.45%"
"Nov 10, 2020","2.0046","1.9870","2.0319","1.9511","5.28M","0.87%"
"Nov 09, 2020","1.9872","2.0271","2.0456","1.9344","4.35M","-1.94%"
"Nov 08, 2020","2.0266","1.9490","2.0517","1.9318","3.28M","3.96%"
"Nov 07, 2020","1.9493","2.0708","2.1848","1.9270","7.20M","-5.85%"
"Nov 06, 2020","2.0705","1.9294","2.0801","1.9240","4.59M","7.34%"
"Nov 05, 2020","1.9289","1.8298","1.9419","1.8128","3.86M","5.45%"
"Nov 04, 2020","1.8293","1.8670","1.8696","1.7473","3.08M","-2.03%"
"Nov 03, 2020","1.8672","1.9226","1.9237","1.8026","3.15M","-2.91%"
"Nov 02, 2020","1.9231","2.0056","2.0526","1.9185","3.13M","-4.10%"
"Nov 01, 2020","2.0053","1.9608","2.0101","1.9419","1.73M","2.27%"
"Oct 31, 2020","1.9608","1.9438","1.9943","1.9328","2.46M","0.86%"
"Oct 30, 2020","1.9442","2.0322","2.0580","1.8883","4.90M","-4.33%"
"Oct 29, 2020","2.0322","2.0789","2.1119","2.0096","2.82M","-2.25%"
"Oct 28, 2020","2.0789","2.1939","2.2160","2.0507","4.46M","-5.24%"
"Oct 27, 2020","2.1939","2.1729","2.2144","2.1593","3.86M","1.00%"
"Oct 26, 2020","2.1721","2.2279","2.2629","2.1362","3.86M","-2.50%"
"Oct 25, 2020","2.2278","2.3104","2.3107","2.2075","2.38M","-3.57%"
"Oct 24, 2020","2.3104","2.2901","2.3315","2.2739","2.08M","0.90%"
"Oct 23, 2020","2.2898","2.3381","2.3384","2.2334","3.44M","-2.13%"
"Oct 22, 2020","2.3396","2.2851","2.3920","2.2826","4.26M","2.38%"
"Oct 21, 2020","2.2851","2.1451","2.3138","2.1378","4.74M","6.53%"
"Oct 20, 2020","2.1451","2.2112","2.2141","2.1267","3.32M","-2.98%"
"Oct 19, 2020","2.2109","2.2141","2.2308","2.1630","2.91M","-0.14%"
"Oct 18, 2020","2.2141","2.1788","2.2195","2.1763","1.76M","1.62%"
"Oct 17, 2020","2.1788","2.1658","2.2054","2.1446","2.22M","0.58%"
"Oct 16, 2020","2.1662","2.2304","2.2437","2.1077","4.16M","-2.88%"
"Oct 15, 2020","2.2304","2.2547","2.2547","2.1800","4.34M","-1.08%"
"Oct 14, 2020","2.2547","2.3306","2.3665","2.2384","5.93M","-3.26%"
"Oct 13, 2020","2.3306","2.3450","2.4089","2.2941","6.17M","-0.64%"
"Oct 12, 2020","2.3456","2.3545","2.4129","2.2911","6.51M","-0.38%"
"Oct 11, 2020","2.3546","2.3008","2.3901","2.2859","5.48M","2.35%"
"Oct 10, 2020","2.3006","2.3299","2.3914","2.2836","7.11M","-1.26%"
"Oct 09, 2020","2.3299","2.2491","2.3490","2.2055","5.82M","3.60%"
"Oct 08, 2020","2.2489","2.1941","2.2813","2.1356","6.58M","2.42%"
"Oct 07, 2020","2.1958","2.1719","2.2073","2.0811","7.07M","1.10%"
"Oct 06, 2020","2.1719","2.2998","2.3287","2.1590","6.89M","-5.54%"
"Oct 05, 2020","2.2992","2.3060","2.3716","2.2472","4.18M","-0.32%"
"Oct 04, 2020","2.3067","2.2975","2.3285","2.2418","3.79M","0.40%"
"Oct 03, 2020","2.2975","2.2880","2.3442","2.2695","3.82M","0.42%"
"Oct 02, 2020","2.2880","2.3683","2.3950","2.1869","6.62M","-3.39%"
"Oct 01, 2020","2.3683","2.4335","2.5254","2.3239","6.49M","-2.68%"
"Sep 30, 2020","2.4335","2.4330","2.4715","2.3691","5.56M","0.02%"
"Sep 29, 2020","2.4330","2.4202","2.4838","2.3470","5.64M","0.29%"
"Sep 28, 2020","2.4260","2.3701","2.5846","2.3701","6.58M","2.36%"
"Sep 27, 2020","2.3701","2.3972","2.4507","2.3078","6.11M","-1.03%"
"Sep 26, 2020","2.3948","2.3604","2.4176","2.3226","6.21M","1.47%"
"Sep 25, 2020","2.3601","2.3183","2.4120","2.2298","7.56M","1.80%"
"Sep 24, 2020","2.3183","2.1735","2.3458","2.1450","8.04M","6.80%"
"Sep 23, 2020","2.1707","2.3414","2.3688","2.1661","8.76M","-7.29%"
"Sep 22, 2020","2.3414","2.2628","2.3426","2.1778","7.32M","3.47%"
"Sep 21, 2020","2.2628","2.5205","2.6183","2.2128","13.00M","-10.22%"
"Sep 20, 2020","2.5205","2.6310","2.6533","2.4442","6.41M","-4.20%"
"Sep 19, 2020","2.6310","2.8037","2.8037","2.6067","8.59M","-6.16%"
"Sep 18, 2020","2.8037","2.5660","2.9250","2.5203","13.20M","9.28%"
"Sep 17, 2020","2.5656","2.4048","2.6150","2.3850","6.12M","6.43%"
"Sep 16, 2020","2.4106","2.4657","2.5863","2.2677","9.87M","-2.23%"
"Sep 15, 2020","2.4655","2.6378","2.6835","2.4291","8.52M","-6.49%"
"Sep 14, 2020","2.6367","2.6478","2.7379","2.5596","9.34M","-0.42%"
"Sep 13, 2020","2.6478","2.8539","2.8759","2.5458","10.95M","-7.23%"
"Sep 12, 2020","2.8542","2.8151","2.9364","2.7327","24.27M","1.39%"
"Sep 11, 2020","2.8151","2.6214","2.8222","2.5035","23.48M","7.39%"
"Sep 10, 2020","2.6214","2.4392","2.6497","2.4361","20.70M","7.48%"
"Sep 09, 2020","2.4390","2.3574","2.5281","2.2826","19.21M","3.46%"
"Sep 08, 2020","2.3575","2.4104","2.5023","2.2578","22.91M","-2.21%"
"Sep 07, 2020","2.4108","2.4236","2.5252","2.2406","23.70M","-0.53%"
"Sep 06, 2020","2.4236","2.3416","2.4693","2.1923","24.96M","3.50%"
"Sep 05, 2020","2.3416","2.5804","2.6535","2.2320","34.64M","-9.26%"
"Sep 04, 2020","2.5805","2.3936","2.6644","2.2641","52.29M","7.81%"
"Sep 03, 2020","2.3936","3.2387","3.2953","2.2114","39.32M","-26.09%"
"Sep 02, 2020","3.2387","3.5201","3.7747","3.0998","33.74M","-7.98%"
"Sep 01, 2020","3.5196","3.3575","3.5934","3.2987","27.32M","4.83%"
