"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.044960","0.048575","0.048734","0.043472","71.55M","-7.30%"
"Jun 30, 2021","0.048502","0.047264","0.048600","0.044540","99.62M","2.82%"
"Jun 29, 2021","0.047173","0.043807","0.048690","0.043755","103.21M","7.81%"
"Jun 28, 2021","0.043755","0.042656","0.045235","0.042168","95.20M","2.58%"
"Jun 27, 2021","0.042656","0.041710","0.042825","0.039491","70.87M","2.39%"
"Jun 26, 2021","0.041662","0.039685","0.042154","0.038840","84.64M","4.39%"
"Jun 25, 2021","0.039910","0.044468","0.046593","0.039265","112.82M","-10.25%"
"Jun 24, 2021","0.044468","0.043822","0.046411","0.040365","124.32M","1.47%"
"Jun 23, 2021","0.043822","0.038773","0.045504","0.036895","137.58M","13.02%"
"Jun 22, 2021","0.038773","0.037962","0.042225","0.031918","290.08M","2.13%"
"Jun 21, 2021","0.037962","0.049668","0.050217","0.037637","203.23M","-23.62%"
"Jun 20, 2021","0.049705","0.049243","0.051039","0.044951","111.16M","0.94%"
"Jun 19, 2021","0.049243","0.050672","0.051791","0.048808","81.96M","-2.82%"
"Jun 18, 2021","0.050672","0.055719","0.055991","0.048190","149.12M","-9.06%"
"Jun 17, 2021","0.055719","0.055319","0.057616","0.053612","82.79M","0.72%"
"Jun 16, 2021","0.055319","0.058044","0.058622","0.054043","79.82M","-4.69%"
"Jun 15, 2021","0.058044","0.058879","0.061938","0.056734","98.20M","-1.42%"
"Jun 14, 2021","0.058879","0.057982","0.059589","0.056582","106.85M","1.55%"
"Jun 13, 2021","0.057982","0.053507","0.060118","0.052555","160.09M","8.36%"
"Jun 12, 2021","0.053507","0.056899","0.062143","0.052523","195.58M","-5.13%"
"Jun 11, 2021","0.056399","0.059989","0.064363","0.055042","127.41M","-5.98%"
"Jun 10, 2021","0.059989","0.065942","0.065978","0.058192","102.48M","-9.03%"
"Jun 09, 2021","0.065942","0.061803","0.065967","0.057958","273.63M","6.69%"
"Jun 08, 2021","0.061805","0.060385","0.063056","0.052813","222.02M","2.35%"
"Jun 07, 2021","0.060384","0.065889","0.074518","0.059900","273.89M","-8.35%"
"Jun 06, 2021","0.065889","0.064630","0.067834","0.064238","55.04M","1.95%"
"Jun 05, 2021","0.064630","0.067305","0.071080","0.061528","109.13M","-3.97%"
"Jun 04, 2021","0.067305","0.076852","0.076899","0.061935","148.26M","-12.42%"
"Jun 03, 2021","0.076851","0.071979","0.078343","0.069023","250.16M","6.77%"
"Jun 02, 2021","0.071979","0.065924","0.074395","0.064133","141.26M","9.19%"
"Jun 01, 2021","0.065924","0.066263","0.071017","0.064359","208.52M","-0.51%"
"May 31, 2021","0.066263","0.060331","0.066357","0.058016","108.17M","9.96%"
"May 30, 2021","0.060259","0.058865","0.064135","0.054774","93.11M","2.37%"
"May 29, 2021","0.058865","0.061297","0.064831","0.053979","119.68M","-4.01%"
"May 28, 2021","0.061324","0.070246","0.071252","0.057163","197.19M","-12.56%"
"May 27, 2021","0.070134","0.078606","0.078606","0.068862","167.56M","-10.70%"
"May 26, 2021","0.078541","0.069148","0.078596","0.067936","177.09M","13.62%"
"May 25, 2021","0.069123","0.071226","0.074796","0.063018","161.49M","-2.95%"
"May 24, 2021","0.071226","0.062343","0.073137","0.061010","177.18M","14.25%"
"May 23, 2021","0.062343","0.070751","0.073346","0.049791","300.88M","-11.91%"
"May 22, 2021","0.070769","0.077100","0.079304","0.067038","152.99M","-8.21%"
"May 21, 2021","0.077100","0.089983","0.093626","0.062033","227.24M","-14.32%"
"May 20, 2021","0.089983","0.073363","0.102414","0.066721","308.10M","22.78%"
"May 19, 2021","0.073285","0.108273","0.109565","0.050667","426.22M","-32.37%"
"May 18, 2021","0.108365","0.100860","0.109129","0.099172","150.38M","7.44%"
"May 17, 2021","0.100860","0.112059","0.115070","0.096761","203.46M","-9.99%"
"May 16, 2021","0.112059","0.107277","0.118864","0.101389","187.48M","4.40%"
"May 15, 2021","0.107336","0.119583","0.121414","0.105905","156.43M","-10.24%"
"May 14, 2021","0.119583","0.115693","0.125174","0.114695","121.79M","3.36%"
"May 13, 2021","0.115693","0.109371","0.124798","0.100615","220.37M","5.78%"
"May 12, 2021","0.109371","0.132544","0.142326","0.109340","163.88M","-17.48%"
"May 11, 2021","0.132544","0.128499","0.133436","0.123816","105.82M","3.15%"
"May 10, 2021","0.128499","0.144494","0.151002","0.116363","190.49M","-11.07%"
"May 09, 2021","0.144494","0.146906","0.148047","0.136916","129.48M","-1.64%"
"May 08, 2021","0.146906","0.148961","0.157041","0.145345","153.70M","-1.38%"
"May 07, 2021","0.148961","0.140209","0.151432","0.138379","164.14M","6.24%"
"May 06, 2021","0.140209","0.144740","0.154076","0.137278","166.67M","-3.13%"
"May 05, 2021","0.144740","0.133540","0.153028","0.133539","208.78M","8.39%"
"May 04, 2021","0.133540","0.150370","0.150869","0.132254","249.03M","-11.24%"
"May 03, 2021","0.150443","0.157091","0.161126","0.150280","185.84M","-4.23%"
"May 02, 2021","0.157091","0.155519","0.164879","0.143204","262.07M","0.80%"
"May 01, 2021","0.155842","0.149136","0.180781","0.149136","561.95M","4.50%"
"Apr 30, 2021","0.149136","0.126502","0.153371","0.123890","244.68M","18.00%"
"Apr 29, 2021","0.126390","0.125619","0.132836","0.119672","163.50M","0.60%"
"Apr 28, 2021","0.125641","0.133117","0.137791","0.122106","162.87M","-5.62%"
